"n","film","revenue","budget","language","popularity","vote.average","vote.count","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev","id"
"43","The Cat o Nine Tails",1204739,1e+06,"it",6304,6.7,175,"1971-02-12",27,NA,"Horror",1971,"70-74","70-79",6,6.08089296961852,"27431"
"44","Death in Venice",0,2,"it",5512,7.3,196,"1971-03-01",18,NA,"Drama",1971,"70-74","70-79",0.301029995663981,1,"6619"
"45","Get Carter",0,1814462,"en",6462,7.1,220,"1971-03-03",80,"R","Crime",1971,"70-74","70-79",6.25874787726894,1,"1485"
"46","THX 1138",2437000,777000,"en",8202,6.6,475,"1971-03-11",18,"R","Drama",1971,"70-74","70-79",5.89042101880091,6.38685552918472,"636"
"47","The Andromeda Strain",12376563,6500000,"en",8.73,7,325,"1971-03-12",878,"G","Science Fiction",1971,"70-74","70-79",6.81291335664286,7.09260005685097,"10514"
"48","The Beguiled",0,0,"en",5745,7.1,201,"1971-03-31",18,"R","Drama",1971,"70-74","70-79",1,1,"31906"
"49","Delusions of Grandeur",0,0,"fr",6835,7.6,358,"1971-04-01",35,"PG","Comedy",1971,"70-74","70-79",1,1,"14257"
"50","Murmur of the Heart",0,0,"fr",9086,7.1,65,"1971-04-27",35,"PG","Comedy",1971,"70-74","70-79",1,1,"42501"
"51","Bananas",11833696,2e+06,"en",5112,6.7,377,"1971-04-28",35,"PG-13","Comedy",1971,"70-74","70-79",6.30102999566398,7.07312040833982,"11302"
"52","Escape from the Planet of the Apes",12348905,2500000,"en",6922,6.4,505,"1971-05-20",28,"G","Action",1971,"70-74","70-79",6.39794000867204,7.09162844961665,"1687"
"53","Big Jake",0,0,"en",6533,7,98,"1971-05-26",37,"PG-13","Western",1971,"70-74","70-79",1,1,"21717"
"54","The Panic in Needle Park",0,1645000,"en",6227,6.8,142,"1971-06-01",18,"R","Drama",1971,"70-74","70-79",6.21616590228599,1,"27554"
"55","Klute",12512637,2500000,"en",8451,6.8,161,"1971-06-23",9648,"R","Mystery",1971,"70-74","70-79",6.39794000867204,7.09734884557375,"466"
"56","Le Mans",0,0,"en",6078,7,99,"1971-06-23",28,"G","Action",1971,"70-74","70-79",1,1,"5920"
"57","McCabe  Mrs Miller",0,0,"en",7295,7.2,184,"1971-06-24",37,"R","Western",1971,"70-74","70-79",1,1,"29005"
"58","Willy Wonka  the Chocolate Factory",4e+06,3e+06,"en",13982,7.5,1887,"1971-06-29",35,"G","Comedy",1971,"70-74","70-79",6.47712125471966,6.60205999132796,"252"
"59","The Devils",0,0,"en",6271,7.6,165,"1971-07-01",18,"R","Drama",1971,"70-74","70-79",1,1,"31767"
"60","TwoLane Blacktop",0,850000,"en",7574,7,110,"1971-07-07",18,"R","Drama",1971,"70-74","70-79",5.92941892571429,1,"27236"
"61","The Omega Man",0,0,"en",8933,6.2,259,"1971-08-01",28,"PG","Action",1971,"70-74","70-79",1,1,"11234"
"62","A Bay of Blood",0,0,"it",6723,6.6,160,"1971-09-08",27,NA,"Horror",1971,"70-74","70-79",1,1,"5486"
"63","Red Sun",0,0,"fr",6836,6.9,103,"1971-09-15",37,"PG","Western",1971,"70-74","70-79",1,1,"11842"
"64","And Now for Something Completely Different",7000,1e+05,"en",5836,7.3,272,"1971-09-28",35,"PG","Comedy",1971,"70-74","70-79",5,3.84509804001426,"9267"
