"n","film","revenue","budget","language","popularity","vote.average","vote.count","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev","id"
"535","Superman III",75850624,3.9e+07,"en",9868,5.4,960,"1983-06-17",35,"PG","Comedy",1983,"80-84","80-89",7.5910646070265,7.87995915794598,"9531"
"536","Twilight Zone The Movie",29450919,1e+07,"en",8923,6.4,373,"1983-06-24",18,"PG","Drama",1983,"80-84","80-89",7,7.469098851259,"15301"
"537","Porkys II The Next Day",33759266,6500000,"en",5555,5.3,126,"1983-06-24",35,"R","Comedy",1983,"80-84","80-89",6.81291335664286,7.52839299554796,"19698"
"538","Staying Alive",64892670,2.2e+07,"en",6594,5.4,228,"1983-07-11",18,"PG","Drama",1983,"80-84","80-89",7.34242268082221,7.81219564351322,"10805"
"539","Zelig",11798616,0,"en",6358,7.6,470,"1983-07-15",35,"PG","Comedy",1983,"80-84","80-89",1,7.07183106672862,"11030"
"540","National Lampoons Vacation",61399552,1.5e+07,"en",10667,7.1,777,"1983-07-28",35,"R","Comedy",1983,"80-84","80-89",7.17609125905568,7.78816520233599,"11153"
"541","Private School",0,0,"en",5623,5.4,62,"1983-07-29",35,"R","Comedy",1983,"80-84","80-89",1,1,"18835"
"542","Risky Business",63541777,6200000,"en",8857,6.6,651,"1983-08-05",35,"R","Comedy",1983,"80-84","80-89",6.79239168949825,7.80305935607663,"9346"
"543","Cujo",21200000,5e+06,"en",6778,6,466,"1983-08-10",27,"R","Horror",1983,"80-84","80-89",6.69897000433602,7.32633586092875,"10489"
"544","Never Say Never Again",1.6e+08,3.6e+07,"en",12753,6.1,708,"1983-10-07",28,"PG","Action",1983,"80-84","80-89",7.55630250076729,8.20411998265593,"36670"
"545","The Key",0,0,"it",15.38,5,128,"1983-10-18",18,"R","Drama",1983,"80-84","80-89",1,1,"28468"
"546","Mickeys Christmas Carol",2.1e+07,3e+06,"en",8487,7.6,469,"1983-10-19",10751,"G","Family",1983,"80-84","80-89",6.47712125471966,7.32221929473392,"14813"
"547","The Right Stuff",21500000,2.7e+07,"en",8602,7.5,456,"1983-10-20",18,"PG","Drama",1983,"80-84","80-89",7.43136376415899,7.3324384599156,"9549"
"548","Rumble Fish",2494480,1e+07,"en",7806,7.2,320,"1983-10-20",28,"R","Action",1983,"80-84","80-89",7,6.39698002624495,"232"
"549","The Dead Zone",20766616,1e+07,"en",8.77,7.1,711,"1983-10-21",27,"R","Horror",1983,"80-84","80-89",7,7.31736573234333,"11336"
"550","Michael Jacksons Thriller",0,1100000,"en",5516,8.1,273,"1983-11-14",27,NA,"Horror",1983,"80-84","80-89",6.04139268515823,1,"92060"
"551","A Christmas Story",19294144,0,"en",10433,7.4,686,"1983-11-18",35,"PG","Comedy",1983,"80-84","80-89",1,7.28542551551571,"850"
"552","Yentl",30400000,1.2e+07,"en",7735,6.6,110,"1983-11-18",18,"PG","Drama",1983,"80-84","80-89",7.07918124604763,7.48287358360875,"10269"
"553","Sleepaway Camp",1.1e+07,350000,"en",6135,6.2,272,"1983-11-18",27,"R","Horror",1983,"80-84","80-89",5.54406804435028,7.04139268515823,"13567"
"554","Terms of Endearment",0,8e+06,"en",9066,7.1,389,"1983-11-20",35,"PG","Comedy",1983,"80-84","80-89",6.90308998699194,1,"11050"
"555","The ComDads",0,0,"fr",14598,6.5,205,"1983-11-23",35,NA,"Comedy",1983,"80-84","80-89",1,1,"10484"
"556","The Day After",0,0,"en",8204,6.9,178,"1983-11-28",18,NA,"Drama",1983,"80-84","80-89",1,1,"7012"
"557","Sudden Impact",67642693,2.2e+07,"en",9477,6.6,430,"1983-12-07",80,"R","Crime",1983,"80-84","80-89",7.34242268082221,7.83022088946027,"10650"
"558","Scarface",66023329,2.5e+07,"en",17131,8.1,6310,"1983-12-08",28,"R","Action",1983,"80-84","80-89",7.39794000867204,7.81969741835662,"111"
"559","Christine",21200000,0,"en",9245,6.7,921,"1983-12-08",27,"R","Horror",1983,"80-84","80-89",1,7.32633586092875,"8769"
"560","Project A",0,0,"cn",7847,7.2,176,"1983-12-22",28,"PG-13","Action",1983,"80-84","80-89",1,1,"21519"
"561","Beverly Hills Cop",316360478,1.5e+07,"en",15276,7.1,2173,"1984-01-25",28,"R","Action",1984,"80-84","80-89",7.17609125905568,8.50018222306014,"90"
"562","Footloose",80035402,8200000,"en",8592,6.6,1143,"1984-02-17",18,"PG","Drama",1984,"80-84","80-89",6.91381385238372,7.9032821306465,"1788"
"563","Repo Man",2300000,1500000,"en",6.08,6.7,281,"1984-02-20",35,"R","Comedy",1984,"80-84","80-89",6.17609125905568,6.36172783601759,"13820"
"564","Splash",69821334,8e+06,"en",8253,6.2,706,"1984-03-09",35,"PG","Comedy",1984,"80-84","80-89",6.90308998699194,7.84398814214794,"2619"
"565","Children of the Corn",1.4e+07,8e+05,"en",7.9,5.7,489,"1984-03-09",27,"R","Horror",1984,"80-84","80-89",5.90308998699194,7.14612803567824,"10823"
"566","NausicaÃÂ¤ of the Valley of the Wind",3301446,1e+06,"ja",19491,7.9,1681,"1984-03-11",12,"PG","Adventure",1984,"80-84","80-89",6,6.51870419814278,"81"
"567","Police Academy",146198896,4500000,"en",13309,6.6,1379,"1984-03-22",35,"R","Comedy",1984,"80-84","80-89",6.65321251377534,8.16494409312172,"9336"
"568","Romancing the Stone",86572238,1e+07,"en",9268,6.7,949,"1984-03-30",28,"PG","Action",1984,"80-84","80-89",7,7.93737864471479,"9326"
"569","Greystoke The Legend of Tarzan Lord of the Apes",45858563,0,"en",7017,6.2,236,"1984-03-30",28,"PG","Action",1984,"80-84","80-89",1,7.66142044178188,"11002"
"570","The NeverEnding Story",20158808,2.7e+07,"en",13928,7.2,2252,"1984-04-05",18,"PG","Drama",1984,"80-84","80-89",7.43136376415899,7.30446484849137,"34584"
"571","Friday the 13th The Final Chapter",32980880,2600000,"en",8.5,5.9,590,"1984-04-13",27,"R","Horror",1984,"80-84","80-89",6.41497334797082,7.51826223936324,"9730"
"572","Sixteen Candles",23686027,6500000,"en",18192,6.8,1249,"1984-05-04",35,"PG","Comedy",1984,"80-84","80-89",6.81291335664286,7.37449222000184,"15144"
"573","This Is Spinal Tap",4736202,2500000,"en",12912,7.6,805,"1984-05-04",35,"R","Comedy",1984,"80-84","80-89",6.39794000867204,6.67543021685982,"11031"
"574","The Natural",47951979,2.8e+07,"en",6877,7,305,"1984-05-11",18,"PG","Drama",1984,"80-84","80-89",7.44715803134222,7.6808065354075,"11393"
"575","Paris Texas",2181987,1746964,"en",7341,8.1,689,"1984-05-19",18,"R","Drama",1984,"80-84","80-89",6.24228395549098,6.33885215878895,"655"
"576","Once Upon a Time in America",5300000,2e+07,"en",15373,8.4,2683,"1984-05-23",18,"R","Drama",1984,"80-84","80-89",7.30102999566398,6.72427586960079,"311"
"577","Indiana Jones and the Temple of Doom",3.33e+08,2.8e+07,"en",13731,7.2,5527,"1984-05-23",12,"PG","Adventure",1984,"80-84","80-89",7.44715803134222,8.52244423350632,"87"
"578","Star Trek III The Search for Spock",8.7e+07,1.8e+07,"en",7181,6.6,739,"1984-06-01",878,"PG","Science Fiction",1984,"80-84","80-89",7.25527250510331,7.93951925261862,"157"
"579","Gremlins",153083102,1.1e+07,"en",16121,7.1,3831,"1984-06-07",14,"PG","Fantasy",1984,"80-84","80-89",7.04139268515823,8.18492725396946,"927"
"580","Ghostbusters",295212467,3e+07,"en",17725,7.4,5302,"1984-06-08",35,"PG","Comedy",1984,"80-84","80-89",7.47712125471966,8.4701346940554,"620"
"581","Top Secret",20458340,9e+06,"en",9292,7,522,"1984-06-08",35,"PG","Comedy",1984,"80-84","80-89",6.95424250943933,7.31087039193296,"8764"
"582","The Karate Kid",90815558,8e+06,"en",13969,7,2024,"1984-06-22",18,"PG","Drama",1984,"80-84","80-89",6.90308998699194,7.95816025573201,"1885"
"583","Bachelor Party",38435947,6e+06,"en",8819,6,308,"1984-06-29",35,"R","Comedy",1984,"80-84","80-89",6.77815125038364,7.5847375858556,"12309"
"584","Cannonball Run II",28078073,0,"en",6867,5.4,149,"1984-06-29",28,"PG","Action",1984,"80-84","80-89",1,7.4483672988216,"11950"
"585","Conan the Destroyer",31042035,1.8e+07,"en",9.73,6,780,"1984-06-29",12,"PG","Adventure",1984,"80-84","80-89",7.25527250510331,7.49195018424533,"9610"
"586","The Last Starfighter",28733290,1.5e+07,"en",8392,6.5,382,"1984-07-13",28,"PG","Action",1984,"80-84","80-89",7.17609125905568,7.45838535613608,"11884"
"587","Revenge of the Nerds",0,0,"en",7258,6.5,388,"1984-07-20",35,"R","Comedy",1984,"80-84","80-89",1,1,"14052"
"588","Red Dawn",38376497,1.7e+07,"en",7247,6.3,393,"1984-08-10",28,"PG-13","Action",1984,"80-84","80-89",7.23044892137827,7.58406532988352,"1880"
"589","Sheena",5778353,2.5e+07,"en",5375,5.3,59,"1984-08-17",28,"PG","Action",1984,"80-84","80-89",7.39794000867204,6.76180406939971,"24264"
"590","Amadeus",51973029,1.8e+07,"en",15237,8,2356,"1984-09-06",18,"R","Drama",1984,"80-84","80-89",7.25527250510331,7.71577802834204,"279"
"591","Blood Simple",3851855,1500000,"en",7765,7.4,636,"1984-09-07",80,"R","Crime",1984,"80-84","80-89",6.17609125905568,6.58566993009187,"11368"
"592","Nineteen EightyFour",0,0,"en",7.6,6.9,707,"1984-10-10",18,"R","Drama",1984,"80-84","80-89",1,1,"9314"
"593","Double Trouble",0,0,"it",6695,6.9,282,"1984-10-19",28,"PG","Action",1984,"80-84","80-89",1,1,"8833"
"594","The Terminator",78371200,6400000,"en",25.14,7.5,7847,"1984-10-26",28,"R","Action",1984,"80-84","80-89",6.80617997398389,7.89415649662614,"218"
"595","The Killing Fields",34700291,14400000,"en",6544,7.6,347,"1984-11-02",18,"R","Drama",1984,"80-84","80-89",7.15836249209525,7.54033311684172,"625"
"596","A Nightmare on Elm Street",25504513,1800000,"en",17244,7.3,2830,"1984-11-14",27,"R","Horror",1984,"80-84","80-89",6.25527250510331,7.40661703524098,"377"
"597","The Ewok Adventure",0,3e+06,"en",8437,5.5,116,"1984-11-25",12,NA,"Adventure",1984,"80-84","80-89",6.47712125471966,1,"1884"
"598","2010",40400657,2.8e+07,"en",9113,6.7,500,"1984-12-06",878,"PG","Science Fiction",1984,"80-84","80-89",7.44715803134222,7.60638842771344,"4437"
"599","Starman",28744356,2.2e+07,"en",6165,6.8,410,"1984-12-13",10749,"PG","Romance",1984,"80-84","80-89",7.34242268082221,7.45855258298445,"9663"
"600","Dune",30925690,4e+07,"en",12486,6.4,1177,"1984-12-14",28,"PG-13","Action",1984,"80-84","80-89",7.60205999132796,7.4903193981912,"841"
"601","Witness",68706993,1.2e+07,"en",7063,7.1,800,"1985-02-08",80,"R","Crime",1985,"85-89","80-89",7.07918124604763,7.83700094181578,"9281"
"602","The Breakfast Club",51525171,1e+06,"en",15229,7.8,4992,"1985-02-15",35,"R","Comedy",1985,"85-89","80-89",6,7.71201944177552,"2108"
"603","Brazil",0,1.5e+07,"en",13399,7.7,1852,"1985-02-20",35,"R","Comedy",1985,"85-89","80-89",7.17609125905568,1,"68"
"604","Porkys 3 Revenge",20518905,9e+06,"en",7308,5.1,104,"1985-03-22",35,"R","Comedy",1985,"85-89","80-89",6.95424250943933,7.31215418075038,"23919"
"605","Friday the 13th A New Beginning",21930418,2200000,"en",8.49,5.1,511,"1985-03-22",27,"R","Horror",1985,"85-89","80-89",6.34242268082221,7.34104690953267,"9731"
"606","Ladyhawke",18432000,2e+07,"en",8092,7,638,"1985-03-27",12,"PG-13","Adventure",1985,"85-89","80-89",7.30102999566398,7.26557246174312,"526"
"607","Police Academy 2 Their First Assignment",55600000,7600000,"en",11142,6,776,"1985-03-28",35,"PG-13","Comedy",1985,"85-89","80-89",6.88081359228079,7.74507479158206,"10157"
"608","Red Sonja",6948633,17900000,"en",8349,5.2,421,"1985-04-09",28,"PG-13","Action",1985,"85-89","80-89",7.25285303097989,6.84189937452535,"9626"
"609","Girls Just Want to Have Fun",0,0,"en",14304,6.3,83,"1985-04-12",35,"PG","Comedy",1985,"85-89","80-89",1,1,"16263"
"610","The Return of the Living Dead",14237880,4e+06,"en",9152,7.3,563,"1985-04-25",35,"R","Comedy",1985,"85-89","80-89",6.60205999132796,7.15344532828651,"10925"
"611","Rambo First Blood Part II",300400432,4.4e+07,"en",15045,6.5,1960,"1985-05-21",28,"R","Action",1985,"85-89","80-89",7.64345267648619,8.477700552883,"1369"
"612","A View to a Kill",152427960,3e+07,"en",13452,6.2,977,"1985-05-24",28,"PG","Action",1985,"85-89","80-89",7.47712125471966,8.1830646373445,"707"
"613","Ran",4069653,11500000,"ja",10333,8.1,699,"1985-06-01",28,"R","Action",1985,"85-89","80-89",7.06069784035361,6.60955738057417,"11645"
"614","The Goonies",61503218,1.9e+07,"en",14224,7.5,3311,"1985-06-07",12,"PG","Adventure",1985,"85-89","80-89",7.27875360095283,7.78889783972794,"9340"
"615","Cocoon",85313124,0,"en",7693,6.5,671,"1985-06-21",878,"PG-13","Science Fiction",1985,"85-89","80-89",1,7.93101584526316,"10328"
"616","Pale Rider",41410568,0,"en",8069,7.1,505,"1985-06-28",37,"R","Western",1985,"85-89","80-89",1,7.61711118745901,"8879"
"617","Mad Max Beyond Thunderdome",36230219,1e+07,"en",13994,6.1,1512,"1985-06-29",28,"PG-13","Action",1985,"85-89","80-89",7,7.55907095921268,"9355"
"618","Come and See",0,0,"ru",9615,8.3,415,"1985-07-01",18,"NR","Drama",1985,"85-89","80-89",1,1,"25237"
"619","Back to the Future",381109762,1.9e+07,"en",26943,8.3,12421,"1985-07-03",12,"PG","Adventure",1985,"85-89","80-89",7.27875360095283,8.58105007322358,"105"
"620","Silverado",0,2.6e+07,"en",7.96,7.1,312,"1985-07-10",28,"PG-13","Action",1985,"85-89","80-89",7.41497334797082,1,"11509"
"621","Legend",15502112,24500000,"en",10893,6.2,600,"1985-07-19",12,"PG","Adventure",1985,"85-89","80-89",7.38916608436453,7.19039087026458,"11976"
"622","The Black Cauldron",21288692,2.5e+07,"en",11439,6.5,634,"1985-07-24",12,"PG","Adventure",1985,"85-89","80-89",7.39794000867204,7.32814897874067,"10957"
"623","National Lampoons European Vacation",49364621,0,"en",7446,6.1,441,"1985-07-25",12,"PG-13","Adventure",1985,"85-89","80-89",1,7.6934158070395,"11418"
"624","Fright Night",24922237,9e+06,"en",9398,7,609,"1985-08-02",27,"R","Horror",1985,"85-89","80-89",6.95424250943933,7.39658702166103,"11797"
"625","Teen Wolf",33086611,0,"en",8623,6.1,569,"1985-08-23",35,"PG","Comedy",1985,"85-89","80-89",1,7.51965228546222,"11824"
"626","After Hours",10609321,4500000,"en",7801,7.5,606,"1985-09-13",35,"R","Comedy",1985,"85-89","80-89",6.65321251377534,7.02568758980243,"10843"
"627","Commando",57500000,1e+07,"en",12736,6.6,1473,"1985-10-03",28,"R","Action",1985,"85-89","80-89",7,7.75966784468963,"10999"
"628","ReAnimator",2023414,9e+05,"en",7802,7.1,578,"1985-10-18",35,"NR","Comedy",1985,"85-89","80-89",5.95424250943933,6.30608475055158,"1694"
"629","A Nightmare on Elm Street Part 2 Freddys Revenge",29999213,3e+06,"en",10771,5.8,901,"1985-10-31",27,"R","Horror",1985,"85-89","80-89",6.47712125471966,7.47710986157831,"10014"
"630","Rocky IV",300473716,3.1e+07,"en",12799,6.9,2375,"1985-11-21",18,"PG","Drama",1985,"85-89","80-89",7.49136169383427,8.47780648800128,"1374"
"631","Ewoks The Battle for Endor",0,0,"en",9404,5.2,109,"1985-11-24",12,NA,"Adventure",1985,"85-89","80-89",1,1,"10372"
"632","The Jewel of the Nile",96773200,2.5e+07,"en",9634,6.2,586,"1985-12-04",28,"PG","Action",1985,"85-89","80-89",7.39794000867204,7.98575510210582,"10303"
"633","Spies Like Us",60088980,2.2e+07,"en",7876,6.1,316,"1985-12-06",12,"PG","Adventure",1985,"85-89","80-89",7.34242268082221,7.7787948320024,"9080"
"634","Enemy Mine",12303411,4e+07,"en",7722,6.8,467,"1985-12-12",18,"PG-13","Drama",1985,"85-89","80-89",7.60205999132796,7.09002553201744,"11864"
"635","Miami Supercops",0,0,"it",7219,6.5,220,"1985-12-12",28,"PG-13","Action",1985,"85-89","80-89",1,1,"10295"
"636","Clue",14643997,1.5e+07,"en",8623,7.3,762,"1985-12-13",35,"PG","Comedy",1985,"85-89","80-89",7.17609125905568,7.16565963123902,"15196"
"637","A Room with a View",20966644,3e+06,"en",7107,7,373,"1985-12-13",18,"R","Drama",1985,"85-89","80-89",6.47712125471966,7.3215289212178,"11257"
"638","Police Story",0,0,"cn",9.21,7.4,317,"1985-12-14",28,"PG-13","Action",1985,"85-89","80-89",1,1,"9056"
"639","The Color Purple",146292009,1.5e+07,"en",8831,7.8,852,"1985-12-18",18,"PG-13","Drama",1985,"85-89","80-89",7.17609125905568,8.1652206040338,"873"
"640","Out of Africa",128499205,3.1e+07,"en",8697,7.3,722,"1985-12-20",36,"PG","History",1985,"85-89","80-89",7.49136169383427,8.10890044077874,"606"
"641","Hannah and Her Sisters",40084041,6400000,"en",7828,7.6,523,"1986-02-07",35,"PG-13","Comedy",1986,"85-89","80-89",6.80617997398389,7.60297149767794,"5143"
"642","FX",20603715,0,"en",6499,6.4,173,"1986-02-07",28,"R","Action",1986,"85-89","80-89",1,7.31394553389038,"9873"
"643","Nine 12 Weeks",6735922,1.7e+07,"en",10858,6,444,"1986-02-14",18,"R","Drama",1986,"85-89","80-89",7.23044892137827,6.82839704951806,"10068"
"644","The Hitcher",5844868,6e+06,"en",7633,7,412,"1986-02-21",27,"R","Horror",1986,"85-89","80-89",6.77815125038364,6.7667747075391,"9542"
"645","Lady of the Night",0,0,"it",7596,5.1,10,"1986-02-27",18,"PG-13","Drama",1986,"85-89","80-89",1,1,"244908"
"646","Highlander",5900000,1.6e+07,"en",11605,6.9,1366,"1986-03-07",28,"R","Action",1986,"85-89","80-89",7.20411998265593,6.77085201164214,"8009"
"647","The Money Pit",54999651,1e+07,"en",8888,6.4,573,"1986-03-15",35,"PG","Comedy",1986,"85-89","80-89",7,7.74035993368961,"10466"
"648","Police Academy 3 Back in Training",43579163,0,"en",9396,5.7,630,"1986-03-20",35,"PG","Comedy",1986,"85-89","80-89",1,7.6392788847452,"12118"
"649","Cobra",49042224,2.5e+07,"en",9079,5.8,849,"1986-03-21",28,"R","Action",1986,"85-89","80-89",7.39794000867204,7.69057015663734,"9874"
"650","Short Circuit",40697761,1e+07,"en",9.09,6.5,884,"1986-05-09",35,"PG","Comedy",1986,"85-89","80-89",7,7.60957051703621,"2605"
"651","Top Gun",356830601,1.5e+07,"en",13892,6.9,3618,"1986-05-16",28,"PG","Action",1986,"85-89","80-89",7.17609125905568,8.55246209143158,"744"
"652","Big Trouble in Little China",1.1e+07,2.5e+07,"en",12256,7.2,1559,"1986-05-30",28,"PG-13","Action",1986,"85-89","80-89",7.39794000867204,7.04139268515823,"6978"
"653","Raw Deal",16209459,8500000,"en",6921,5.7,358,"1986-06-06",28,"R","Action",1986,"85-89","80-89",6.92941892571429,7.20976852026273,"2099"
"654","Ferris Buellers Day Off",70136369,6e+06,"en",14228,7.6,2781,"1986-06-11",35,"PG-13","Comedy",1986,"85-89","80-89",6.77815125038364,7.84594327845335,"9377"
"655","The Karate Kid Part II",115103979,1.3e+07,"en",9166,6.1,1015,"1986-06-18",28,"PG","Action",1986,"85-89","80-89",7.11394335230684,8.06109033690412,"8856"
"656","Labyrinth",12729917,2.5e+07,"en",13902,7.2,1264,"1986-06-27",12,"PG","Adventure",1986,"85-89","80-89",7.39794000867204,7.10482557203076,"13597"
"657","The Great Mouse Detective",38625550,1.4e+07,"en",10722,7,920,"1986-07-02",12,"G","Adventure",1986,"85-89","80-89",7.14612803567824,7.58687467651741,"9994"
"658","Aliens",183316455,18500000,"en",23148,7.9,5700,"1986-07-18",28,"R","Action",1986,"85-89","80-89",7.26717172840301,8.26320145020473,"679"
"659","Friday the 13th Part VI Jason Lives",19472057,3e+06,"en",8323,5.9,531,"1986-08-01",27,"R","Horror",1986,"85-89","80-89",6.47712125471966,7.28941183218577,"10225"
"660","Blue Velvet",8551228,6e+06,"en",12.36,7.7,1708,"1986-08-01",80,"R","Crime",1986,"85-89","80-89",6.77815125038364,6.93202848611164,"793"
"661","Howard the Duck",37962774,3.7e+07,"en",7.61,5.2,518,"1986-08-01",35,"PG","Comedy",1986,"85-89","80-89",7.56820172406699,7.57935793950014,"10658"
"662","Castle in the Sky",0,0,"ja",15624,8,2046,"1986-08-02",12,"PG","Adventure",1986,"85-89","80-89",1,1,"10515"
"663","Stand by Me",52287414,8e+06,"en",15155,7.9,3277,"1986-08-08",80,"R","Crime",1986,"85-89","80-89",6.90308998699194,7.71839716328113,"235"
"664","The Transformers The Movie",5849647,6e+06,"en",7478,7,238,"1986-08-08",28,"PG","Action",1986,"85-89","80-89",6.77815125038364,6.76712965914582,"1857"
"665","The Fly",60629159,1.5e+07,"en",14528,7.3,2262,"1986-08-15",27,"R","Horror",1986,"85-89","80-89",7.17609125905568,7.78268154408533,"9426"
"666","Armour of God",0,1.5e+07,"cn",9553,6.8,219,"1986-08-16",12,"PG-13","Adventure",1986,"85-89","80-89",7.17609125905568,1,"10974"
"667","The Name of the Rose",77200000,2e+07,"en",9842,7.4,1697,"1986-09-24",18,"R","Drama",1986,"85-89","80-89",7.30102999566398,7.88761730033574,"192"
"668","Henry Portrait of a Serial Killer",0,111000,"en",5937,6.8,316,"1986-09-24",80,"R","Crime",1986,"85-89","80-89",5.04532297878666,1,"10692"
"669","Crocodile Dundee",328203506,5e+06,"en",8605,6.3,1058,"1986-09-26",12,"PG-13","Adventure",1986,"85-89","80-89",6.69897000433602,8.51614321604773,"9671"
"670","The Mission",17218023,24500000,"en",8004,7.4,715,"1986-09-29",28,"PG","Action",1986,"85-89","80-89",7.38916608436453,7.23598328361695,"11416"
"671","The Color of Money",52293982,13800000,"en",8565,6.8,663,"1986-10-07",18,"R","Drama",1986,"85-89","80-89",7.13987908640124,7.71845171306284,"11873"
"672","Sid  Nancy",2826523,4e+06,"en",8021,6.9,255,"1986-10-24",18,"R","Drama",1986,"85-89","80-89",6.60205999132796,6.45125252375419,"14924"
"673","Jocks",0,0,"en",9.41,4,6,"1986-11-14",35,"R","Comedy",1986,"85-89","80-89",1,1,"67693"
"674","An American Tail",84542002,9e+06,"en",10259,6.7,788,"1986-11-21",18,"G","Drama",1986,"85-89","80-89",6.95424250943933,7.92707252794129,"4978"
"675","Star Trek IV The Voyage Home",1.33e+08,2.4e+07,"en",10161,7.2,819,"1986-11-26",12,"PG","Adventure",1986,"85-89","80-89",7.38021124171161,8.12385164096709,"168"
"676","Heartbreak Ridge",42724017,1.5e+07,"en",7532,6.7,496,"1986-12-05",28,"R","Action",1986,"85-89","80-89",7.17609125905568,7.63067207920116,"10015"
"677","ÃÂThree Amigos",0,2.5e+07,"en",8185,6.3,506,"1986-12-12",12,"PG","Adventure",1986,"85-89","80-89",7.39794000867204,1,"8388"
"678","The Golden Child",79817939,2.5e+07,"en",7.87,5.8,601,"1986-12-12",28,"PG-13","Action",1986,"85-89","80-89",7.39794000867204,7.90210050956072,"10136"
"679","Platoon",138530565,6e+06,"en",14267,7.7,2434,"1986-12-19",18,"R","Drama",1986,"85-89","80-89",6.77815125038364,8.141545605504,"792"
"680","Little Shop of Horrors",38748395,2.5e+07,"en",7137,6.9,809,"1986-12-19",35,"PG-13","Comedy",1986,"85-89","80-89",7.39794000867204,7.58825371827254,"10776"
"681","Radio Days",0,1.6e+07,"en",6869,7.2,282,"1987-01-30",35,NA,"Comedy",1987,"85-89","80-89",7.20411998265593,1,"30890"
"682","Mannequin",42721196,6e+06,"en",9219,5.7,243,"1987-02-13",14,"PG","Fantasy",1987,"85-89","80-89",6.77815125038364,7.63064340246923,"10019"
"683","Over the Top",16057580,2.5e+07,"en",8223,6.1,822,"1987-02-13",28,"PG","Action",1987,"85-89","80-89",7.39794000867204,7.20568009437737,"1825"
"684","A Nightmare on Elm Street 3 Dream Warriors",44793222,5e+06,"en",3814,6.6,885,"1987-02-27",27,"R","Horror",1987,"85-89","80-89",6.69897000433602,7.65121230259859,"10072"
"685","Lethal Weapon",120207127,1.5e+07,"en",12232,7.2,2600,"1987-03-06",28,"R","Action",1987,"85-89","80-89",7.17609125905568,8.07993021745885,"941"
"686","Angel Heart",17185632,1.7e+07,"en",9664,7.2,747,"1987-03-06",27,"R","Horror",1987,"85-89","80-89",7.23044892137827,7.23516550790563,"635"
"687","Evil Dead II",5923044,3600000,"en",12.59,7.6,1558,"1987-03-13",35,"R","Comedy",1987,"85-89","80-89",6.55630250076729,6.77254495885844,"765"
"688","Police Academy 4 Citizens on Patrol",28061343,0,"en",9743,5.3,609,"1987-04-02",35,"PG","Comedy",1987,"85-89","80-89",1,7.44810845227794,"10587"
"689","The Gate",0,2500000,"en",6357,6,164,"1987-04-21",14,"PG-13","Fantasy",1987,"85-89","80-89",6.39794000867204,1,"6917"
"690","Beverly Hills Cop II",299965036,2e+07,"en",13.03,6.4,1266,"1987-05-18",28,"R","Action",1987,"85-89","80-89",7.30102999566398,8.47707063619568,"96"
"691","The Untouchables",76270454,2.5e+07,"en",15502,7.8,3221,"1987-06-03",80,"R","Crime",1987,"85-89","80-89",7.39794000867204,7.88235633153501,"117"
"692","Harry and the Hendersons",49998613,0,"en",7831,5.8,347,"1987-06-05",35,"PG","Comedy",1987,"85-89","80-89",1,7.69895795683999,"8989"
"693","Predator",98267558,1.5e+07,"en",18309,7.4,4211,"1987-06-12",878,"R","Science Fiction",1987,"85-89","80-89",7.17609125905568,7.99241016374204,"106"
"694","The Witches of Eastwick",63766510,2.2e+07,"en",8.76,6.4,707,"1987-06-12",35,"R","Comedy",1987,"85-89","80-89",7.34242268082221,7.80459264829949,"6069"
"695","Roxanne",40050884,0,"en",7318,6.4,333,"1987-06-19",35,"PG","Comedy",1987,"85-89","80-89",1,7.60261210624011,"11584"
"696","Withnail  I",1544889,0,"en",7307,7.5,290,"1987-06-19",35,"R","Comedy",1987,"85-89","80-89",1,6.18889728090048,"13446"
"697","Spaceballs",38119483,22700000,"en",15504,6.8,1724,"1987-06-24",35,"PG","Comedy",1987,"85-89","80-89",7.35602585719312,7.58114700183592,"957"
"698","Dragnet",66673516,2e+07,"en",6787,6,246,"1987-06-25",28,"PG-13","Action",1987,"85-89","80-89",7.30102999566398,7.82395335806745,"10023"
"699","Full Metal Jacket",46357676,1.7e+07,"en",14754,8.1,6043,"1987-06-26",18,"R","Drama",1987,"85-89","80-89",7.23044892137827,7.66612165581454,"600"
"700","The Living Daylights",191185897,4e+07,"en",16785,6.4,863,"1987-06-29",28,"PG","Action",1987,"85-89","80-89",7.60205999132796,8.28145585299774,"708"
"701","Innerspace",25893810,2.7e+07,"en",8293,6.8,653,"1987-06-30",28,"PG","Action",1987,"85-89","80-89",7.43136376415899,7.41319595697165,"2614"
"702","Adventures in Babysitting",34368475,0,"en",7369,6.8,315,"1987-07-01",35,"PG-13","Comedy",1987,"85-89","80-89",1,7.53616026202438,"14367"
"703","RoboCop",53424681,1.3e+07,"en",15404,7.2,2775,"1987-07-17",28,"R","Action",1987,"85-89","80-89",7.11394335230684,7.7277419376615,"5548"
"704","Jaws The Revenge",51881013,2.3e+07,"en",9489,3.8,504,"1987-07-17",12,"PG-13","Adventure",1987,"85-89","80-89",7.36172783601759,7.71500844728897,"580"
"705","Superman IV The Quest for Peace",19300000,1.7e+07,"en",9572,4.4,655,"1987-07-23",28,"PG","Action",1987,"85-89","80-89",7.23044892137827,7.28555730900777,"11411"
