"","film","revenue","budget","language","popularity","vote.average","vote.count","id","tagline","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev"
"43","Chisum","0","6,00E+06","en",5643,6.8,86,"38765","THE LEGEND - John Wayne is 'Chisum'","23/07/1970",37,"G","Western",1970,"70-74","70-79",2.34242268082221,0.301029995663981
"44","Performance","0","0","en",6538,7.1,82,"26606","See them all in a film about fantasy. And reality. Vice. And versa.","3/08/1970",80,"R","Crime",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"45","Soldier Blue","0","0","en",5597,7.3,85,"14384","The most savage film in history!","12/08/1970",37,"R","Western",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"46","Five Easy Pieces","18099091","0","en",8867,7.3,230,"26617","He rode the fast lane on the road to nowhere.","12/09/1970",18,"R","Drama",1970,"70-74","70-79",0.301029995663981,2.5910646070265
"47","The Vampire Lovers","0","0","en",5591,6.5,70,"31952","An erotic nightmare of tormented lusts that throb in headless, undead bodies!","4/10/1970",27,"R","Horror",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"48","Valerie and Her Week of Wonders","0","0","cs",7505,6.9,107,"46315",NA,"10/10/1970",14,NA,"Fantasy",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"49","Le Cercle Rouge","0","0","fr",5918,7.7,279,"11657","No place to hide . . . nowhere to run . . .","19/10/1970",18,NA,"Drama",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"50","The Conformist","0","750000","it",6126,7.8,301,"8416","A dazzling movie","21/10/1970",18,"R","Drama",1970,"70-74","70-79",2.40312052117582,0.301029995663981
"51","The Private Life of Sherlock Holmes","1500000","1,00E+07","en",5439,7,135,"5185","The Private Life of Sherlock Holmes. Anything But Elementary.","29/10/1970",12,"PG-13","Adventure",1970,"70-74","70-79",0.698970004336019,2.44715803134222
"52","Investigation of a Citizen Above Suspicion","0","0","it",7671,8.3,303,"26451","When you're a big man in the big city, can you get away with murder?","13/11/1970",80,NA,"Crime",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"53","Gimme Shelter","252570","0","en",5677,7.6,72,"132","The music that thrilled the world ... and the killing that stunned it!","6/12/1970",99,NA,"Documentary",1970,"70-74","70-79",0.301029995663981,2.79588001734408
"54","Claire's Knee","0","0","fr",5467,7.4,90,"2860",NA,"11/12/1970",18,"R","Drama",1970,"70-74","70-79",0.301029995663981,0.301029995663981
